---------- Differential Evolution Biases ----------
Layer 1 - thick: 0.3395125921413751
Layer 1 - sld: -0.00020031501745743086
Layer 2 - thick: 0.6305426361007846
Layer 2 - sld: 0.018146421016540515
Layer 3 - thick: -0.6785609796313139
Layer 3 - sld: -0.031922124987264766

---------- L-BFGS-B Biases ----------
Layer 1 - thick: 0.18804865313069286
Layer 1 - sld: -0.000572912093084188
Layer 2 - thick: 0.15199924021138855
Layer 2 - sld: 0.008503746551204117
Layer 3 - thick: -0.13292543128513756
Layer 3 - sld: 0.029601316124585608
