---------- Fitting Biases ----------
Layer 1 - thick: -0.6125572138260011
Layer 1 - sld: 0.01101466381440197
Layer 2 - thick: 0.3190017967707792
Layer 2 - sld: 0.041103956978511214
Layer 3 - thick: 0.27722249729792736
Layer 3 - sld: 0.01062148856967382
Layer 4 - thick: -1.656173734114958
Layer 4 - sld: -0.031030032357913573
Layer 5 - thick: 2.0813055755047962
Layer 5 - sld: -0.0836911001380205

---------- Sampling Biases ----------
Layer 1 - thick: 0.16626667845000043
Layer 1 - sld: 0.006604637110670719
Layer 2 - thick: -0.5712069441008527
Layer 2 - sld: 0.046534337091281186
Layer 3 - thick: 0.4111861174557845
Layer 3 - sld: 0.010008082418036968
Layer 4 - thick: -1.3262047866879598
Layer 4 - sld: -0.026897004083952236
Layer 5 - thick: 1.6756161547122161
Layer 5 - sld: -0.0671419729544862
