------------ Differential Evolution Biases ------------
Layer 1 - thick: -0.027771304600314295
Layer 1 - sld: 0.005144315637570784
Layer 2 - thick: -0.3666005115762605
Layer 2 - sld: 0.03825652289311221
Layer 3 - thick: 0.4250852394970366
Layer 3 - sld: 0.00651285384671263
Layer 4 - thick: -0.26505956786117224
Layer 4 - sld: -0.013619919724167318
Layer 5 - thick: 0.33770885999044964
Layer 5 - sld: -0.017122502776947268

------------ L-BFGS-B Biases ------------
Layer 1 - thick: -0.5738785488667162
Layer 1 - sld: 0.004064520341718225
Layer 2 - thick: 0.29254566457600717
Layer 2 - sld: 0.02664118159356721
Layer 3 - thick: 0.264906239601288
Layer 3 - sld: 0.004461226921159245
Layer 4 - thick: -0.5932001462654668
Layer 4 - sld: -0.017452044177492798
Layer 5 - thick: 0.7463804875038527
Layer 5 - sld: -0.02905555053185127

