Differential Evolution (No Polish)
Layer 1 - thick: -0.09593879838026709
Layer 1 - sld: 0.007562958685613186
Layer 2 - thick: -0.35633098323766
Layer 2 - sld: 0.04363624241759245
Layer 3 - thick: 0.4679336994936705
Layer 3 - sld: 0.007725331473869335
Layer 4 - thick: -0.3942277141390065
Layer 4 - sld: -0.015769140859529518
Layer 5 - thick: 0.46899708059930845
Layer 5 - sld: -0.021693465448350047

Differential Evolution + L-BFGS-B
Layer 1 - thick: -0.698923114880678
Layer 1 - sld: 0.006124089204890382
Layer 2 - thick: 0.3984212897742392
Layer 2 - sld: 0.03295963900510568
Layer 3 - thick: 0.28924068880394316
Layer 3 - sld: 0.005304400145451638
Layer 4 - thick: -0.6852335568061889
Layer 4 - sld: -0.017731589218298982
Layer 5 - thick: 0.8535569825874241
Layer 5 - sld: -0.0337243315037683

