------------ Fitting Biases ------------
Layer 1 - thick: -0.6289001651106503
Layer 1 - sld: 0.0039375434406361265
Layer 2 - thick: 0.35558215019955774
Layer 2 - sld: 0.027702438221400394
Layer 3 - thick: 0.2532359498146448
Layer 3 - sld: 0.003989270561487013
Layer 4 - thick: -0.9506077530158237
Layer 4 - sld: -0.017425726781485018
Layer 5 - thick: 1.193748916500077
Layer 5 - sld: -0.04912039044476568

------------ Sampling Biases ------------
Layer 1 - thick: 0.10858871203122078
Layer 1 - sld: 0.004647682495492855
Layer 2 - thick: -0.3411596570050257
Layer 2 - sld: 0.025050869063032
Layer 3 - thick: 0.2425079999678985
Layer 3 - sld: 0.005105238068148998
Layer 4 - thick: -0.6773537299803181
Layer 4 - sld: -0.015891943872825998
Layer 5 - thick: 0.8363558913784601
Layer 5 - sld: -0.038796849345700934

